time_id,full_date,day_of_month,day_name,month_number,month_name,quarter,year,is_weekend
1,2022-01-01,1,Saturday,1,January,1,2022,True
2,2022-01-02,2,Sunday,1,January,1,2022,True
3,2022-01-03,3,Monday,1,January,1,2022,False
4,2022-01-04,4,Tuesday,1,January,1,2022,False
5,2022-01-05,5,Wednesday,1,January,1,2022,False
6,2022-01-06,6,Thursday,1,January,1,2022,False
7,2022-01-07,7,Friday,1,January,1,2022,False
8,2022-01-08,8,Saturday,1,January,1,2022,True
9,2022-01-09,9,Sunday,1,January,1,2022,True
10,2022-01-10,10,Monday,1,January,1,2022,False
11,2022-01-11,11,Tuesday,1,January,1,2022,False
12,2022-01-12,12,Wednesday,1,January,1,2022,False
13,2022-01-13,13,Thursday,1,January,1,2022,False
14,2022-01-14,14,Friday,1,January,1,2022,False
15,2022-01-15,15,Saturday,1,January,1,2022,True
16,2022-01-16,16,Sunday,1,January,1,2022,True
17,2022-01-17,17,Monday,1,January,1,2022,False
18,2022-01-18,18,Tuesday,1,January,1,2022,False
19,2022-01-19,19,Wednesday,1,January,1,2022,False
20,2022-01-20,20,Thursday,1,January,1,2022,False
21,2022-01-21,21,Friday,1,January,1,2022,False
22,2022-01-22,22,Saturday,1,January,1,2022,True
23,2022-01-23,23,Sunday,1,January,1,2022,True
24,2022-01-24,24,Monday,1,January,1,2022,False
25,2022-01-25,25,Tuesday,1,January,1,2022,False
26,2022-01-26,26,Wednesday,1,January,1,2022,False
27,2022-01-27,27,Thursday,1,January,1,2022,False
28,2022-01-28,28,Friday,1,January,1,2022,False
29,2022-01-29,29,Saturday,1,January,1,2022,True
30,2022-01-30,30,Sunday,1,January,1,2022,True
31,2022-01-31,31,Monday,1,January,1,2022,False
32,2022-02-01,1,Tuesday,2,February,1,2022,False
33,2022-02-02,2,Wednesday,2,February,1,2022,False
34,2022-02-03,3,Thursday,2,February,1,2022,False
35,2022-02-04,4,Friday,2,February,1,2022,False
36,2022-02-05,5,Saturday,2,February,1,2022,True
37,2022-02-06,6,Sunday,2,February,1,2022,True
38,2022-02-07,7,Monday,2,February,1,2022,False
39,2022-02-08,8,Tuesday,2,February,1,2022,False
40,2022-02-09,9,Wednesday,2,February,1,2022,False
41,2022-02-10,10,Thursday,2,February,1,2022,False
42,2022-02-11,11,Friday,2,February,1,2022,False
43,2022-02-12,12,Saturday,2,February,1,2022,True
44,2022-02-13,13,Sunday,2,February,1,2022,True
45,2022-02-14,14,Monday,2,February,1,2022,False
46,2022-02-15,15,Tuesday,2,February,1,2022,False
47,2022-02-16,16,Wednesday,2,February,1,2022,False
48,2022-02-17,17,Thursday,2,February,1,2022,False
49,2022-02-18,18,Friday,2,February,1,2022,False
50,2022-02-19,19,Saturday,2,February,1,2022,True
51,2022-02-20,20,Sunday,2,February,1,2022,True
52,2022-02-21,21,Monday,2,February,1,2022,False
53,2022-02-22,22,Tuesday,2,February,1,2022,False
54,2022-02-23,23,Wednesday,2,February,1,2022,False
55,2022-02-24,24,Thursday,2,February,1,2022,False
56,2022-02-25,25,Friday,2,February,1,2022,False
