dept_name,total_revenue,patient_count,avg_stay
Cardiology,2515244.37,1319,0.6611068991660348
ENT,133549544.74,1101,6.283378746594005
Pediatrics,5055906.93,875,0.7017142857142857
Dermatology,496109.16,334,0.7215568862275449
Orthopedics,130526921.33,1074,6.381750465549348
Gynecology,140735250.84,1587,4.470069313169502
Pathology,2838527.07,3553,0.6146918097382493
Radiology,8092797.58,1830,0.5628415300546448
Ophthalmology,147056884.23,1165,6.4085836909871245
General Surgery,137553476.18,1140,6.480701754385965
Neurology,1078547.55,817,0.5630354957160343
Emergency,46064731.38,2213,2.7505648441030277
