dept_name,year,month_number,month_name,total_billed,total_paid,total_outstanding,transaction_count,avg_stay
Cardiology,2022,1,January,88512.31,73109.42,15402.89,41,0.6097560975609756
Cardiology,2022,2,February,58152.02,47098.76,11053.26,21,0.23809523809523808
Cardiology,2022,3,March,86342.93,71281.35,15061.58,40,0.2
Cardiology,2022,4,April,67820.14,54381.56,13438.58,38,0.8947368421052632
Cardiology,2022,5,May,68019.6,58798.84,9220.76,34,1.2647058823529411
Cardiology,2022,6,June,70729.26,55608.72,15120.54,36,0.5833333333333334
Cardiology,2022,7,July,77824.77,65911.42,11913.35,42,0.11904761904761904
Cardiology,2022,8,August,74108.01,62571.52,11536.49,43,0.6511627906976745
Cardiology,2022,9,September,81715.54,67938.42,13777.12,47,0.7446808510638298
Cardiology,2022,10,October,72013.34,59407.93,12605.41,37,1.027027027027027
Cardiology,2022,11,November,76335.99,64392.01,11943.98,40,0.725
Cardiology,2022,12,December,78024.18,65341.39,12682.79,38,0.5789473684210527
Cardiology,2023,1,January,68585.17,58303.51,10281.66,37,0.6756756756756757
Cardiology,2023,2,February,83305.36,67630.02,15675.34,34,0.5882352941176471
Cardiology,2023,3,March,21625.73,17496.37,4129.36,13,0.9230769230769231
Cardiology,2023,4,April,55743.35,46490.32,9253.03,31,0.5483870967741935
Cardiology,2023,5,May,56974.89,46600.1,10374.79,33,0.36363636363636365
Cardiology,2023,6,June,55057.42,45569.12,9488.3,29,0.5172413793103449
Cardiology,2023,7,July,101849.52,85600.55,16248.97,56,0.5535714285714286
Cardiology,2023,8,August,79261.82,64225.1,15036.72,37,0.8648648648648649
Cardiology,2023,9,September,83113.32,68276.04,14837.28,36,0.5277777777777778
Cardiology,2023,10,October,36576.84,30821.61,5755.23,27,0.7777777777777778
Cardiology,2023,11,November,50859.91,42734.44,8125.47,25,0.88
Cardiology,2023,12,December,62213.42,53192.88,9020.54,38,0.6052631578947368
Cardiology,2024,1,January,68494.93,56060.48,12434.45,39,0.717948717948718
Cardiology,2024,2,February,74105.73,63963.69,10142.04,38,0.5263157894736842
Cardiology,2024,3,March,83071.81,66128.13,16943.68,44,0.9090909090909091
Cardiology,2024,4,April,40322.16,34212.95,6109.21,27,0.8148148148148148
Cardiology,2024,5,May,70038.58,59252.43,10786.15,36,0.5277777777777778
Cardiology,2024,6,June,69777.16,55399.47,14377.69,39,0.5641025641025641
Cardiology,2024,7,July,61796.91,52072.11,9724.8,36,0.5555555555555556
Cardiology,2024,8,August,91206.21,77556.48,13649.73,48,1.0208333333333333
Cardiology,2024,9,September,77525.16,65257.16,12268.0,47,0.5957446808510638
Cardiology,2024,10,October,78139.76,63205.8,14933.96,32,0.90625
Cardiology,2024,11,November,56204.91,45424.08,10780.83,32,1.0
Cardiology,2024,12,December,89796.21,75106.34,14689.87,48,0.4375
Dermatology,2022,1,January,15155.42,12906.37,2249.05,11,1.0909090909090908
Dermatology,2022,2,February,4085.3,3285.15,800.15,6,1.0
Dermatology,2022,3,March,21551.91,17851.83,3700.08,15,1.5333333333333332
Dermatology,2022,4,April,7659.73,7476.11,183.62,7,0.2857142857142857
Dermatology,2022,5,May,7648.76,6170.49,1478.27,8,0.75
Dermatology,2022,6,June,9018.87,7376.8,1642.07,6,0.8333333333333334
Dermatology,2022,7,July,30664.34,23054.6,7609.74,17,0.4117647058823529
Dermatology,2022,8,August,21508.19,17596.98,3911.21,9,1.1111111111111112
Dermatology,2022,9,September,17250.43,14460.01,2790.42,12,0.6666666666666666
Dermatology,2022,10,October,19597.16,16067.48,3529.68,14,0.5
Dermatology,2022,11,November,18304.75,15589.71,2715.04,8,0.625
Dermatology,2022,12,December,8786.02,7710.91,1075.11,6,1.6666666666666667
Dermatology,2023,1,January,17320.41,14131.62,3188.79,9,0.1111111111111111
Dermatology,2023,2,February,7722.35,6325.45,1396.9,6,1.1666666666666667
Dermatology,2023,3,March,9725.32,7073.99,2651.33,11,0.2727272727272727
Dermatology,2023,4,April,4141.27,3605.82,535.45,5,0.0
Dermatology,2023,5,May,9828.26,8353.15,1475.11,6,0.0
Dermatology,2023,6,June,15328.46,12777.53,2550.93,10,0.6
Dermatology,2023,7,July,26147.32,22800.31,3347.01,13,0.6153846153846154
Dermatology,2023,8,August,13837.43,11172.38,2665.05,12,0.5833333333333334
Dermatology,2023,9,September,10783.63,7877.79,2905.84,8,0.75
Dermatology,2023,10,October,11986.35,9569.08,2417.27,10,1.2
Dermatology,2023,11,November,22926.15,18233.81,4692.34,10,0.7
Dermatology,2023,12,December,11014.59,9879.96,1134.63,8,0.5
